N         Time (ns)      size      capacity
256       530            257       512
512       226            513       1024
1024      321            1025      2048
2048      356            2049      4096
4096      445            4097      8192
8192      837            8193      16384
16384     1383           16385     32768
32768     2974           32769     65536
