N         Time (ns)      size      capacity
256       200            257       512
512       198            513       1024
1024      229            1025      2048
2048      276            2049      4096
4096      544            4097      8192
8192      636            8193      16384
16384     1230           16385     32768
32768     2919           32769     65536
